label,mission,object_id,period_days,dur_hr,depth_ppm,rprstar,a_over_rstar,radius_rearth,insol_earth,eq_temp_k,teff_k,logg_cgs,star_rad_rsun,ra_deg,dec_deg,t_mag
1,Kepler,Kepler-1674 b,62.5613879,5.907,1372.6,0.038618,49.2,3.54,7.13,417.0,5662.0,4.56,0.84,294.8161,45.306122,
1,K2,K2-277 b,6.32668003682,2.0310601,520.8002,0.022821047302873723,,2.29015537,195.7304,953.97,5673.0,4.46318,0.975383,202.0161895,-15.9379749,9.66562
0,Kepler,K02249.01,13.37935853,8.809,353.5,0.022549,3.74,6.65,896.56,1395.0,6739.0,3.712,2.702,295.54712,39.861759,
0,Kepler,K04930.01,27.8923345,2.204,139.6,0.010796,97.6,2.1,100.41,807.0,5873.0,3.96,1.78,291.55548,37.44516,
1,TESS,TOI-45251,2.4841975,1.511,10361.0,0.10178899744078433,,13.3413,383.047,1232.0,6089.0,4.28,1.28,342.385899,-10.675469,10.931
0,Kepler,K03664.01,1.87887673,6.60887,824390.0,1.0993,4.6402,148.25,2750.37,1846.0,6569.0,4.281,1.235,297.42035,39.775108,
1,K2,K2-268 d,4.528598,2.57,,0.0173,12.57,1.49,,888.0,5106.0,4.58,0.78,133.7094899,11.8482712,12.986
0,TESS,TOI-58551,2.4710528,3.033,5420.0,0.07362064927722385,,12.1002,5313.3,2378.0,6114.0,4.52,0.97,294.008142,32.214606,12.3924
0,Kepler,K02916.01,0.306937807,0.5925,119.2,0.010129,4.04,0.82,5019.53,2142.0,5088.0,4.58,0.741,287.73572,42.823421,
1,Kepler,Kepler-280 b,2.1395563,2.0678,266.1,0.014957,7.51,1.76,974.3,1425.0,5534.0,4.338,1.08,291.3905,42.180592,
1,K2,WASP-47 c,588.8,,,,,,,,5552.0,,1.137,331.203092,-12.019067,11.29
0,Kepler,K07029.01,6.042029838,8.0666,132860.0,0.373543,6.8671,23.94,66.7,729.0,5030.0,4.67,0.587,296.55756,44.31023,
0,Kepler,K07737.01,4.75307877,2.35,933.0,0.025738,6.24,505.94,580415.2,7040.0,3486.0,0.5,180.013,295.03052,40.958149,
0,K2,EPIC 210754505.01,0.87052967,1.502,1820.0,0.04266145801540308,,,,,6121.0,4.16573,1.47366,64.6449782,19.1790392,12.5065
0,Kepler,K00326.01,8.97349999,3.1408,935.1,0.02858,18.85,36.0,6178.9,2262.0,4751.0,2.52,11.536,286.65604,46.783543,
0,Kepler,K03877.01,3.04476607,9.568,272.6,0.175754,1.263,15.7,379.01,1126.0,5627.0,4.568,0.818,293.68225,45.511398,
0,TESS,TOI-3571,0.9399664,1.122492,587.9364245,0.024247400365812417,,6.6149456,22464.7891996,3122.4488768,6300.3,3.72,2.5465,32.321881,-48.48474,10.3987
0,Kepler,K03898.01,1.306723495,6.606,12457.0,0.382215,1.603,27.42,443.02,1170.0,4651.0,4.612,0.657,294.32037,45.501282,
1,Kepler,Kepler-251 e,99.6415962,4.448,952.5,0.027879,175.84,2.64,3.97,360.0,5527.0,4.488,0.866,296.56622,44.105862,
0,Kepler,K02518.01,0.759762021,4.912,227.0,0.197356,1.208,24.2,6419.35,2280.0,6386.0,4.402,1.123,290.53607,40.705849,
0,TESS,TOI-17241,0.6850808,1.0565887,2675.7176662,0.051727339639691505,,1.9806358,170.8295335,922.0627729,3541.0,4.8452,0.380019,127.032597,56.427529,12.507
1,K2,K2-170 b,7.5734,3.432,197.0,0.0137,14.6,1.62,,,,,1.0849,335.4506923,-14.5933554,12.0676
0,Kepler,K03999.01,3.43525124,4.509,152.2,0.133675,1.5,25.43,1468.73,1579.0,5854.0,4.014,1.742,290.38721,37.47818,
1,Kepler,Kepler-1573 b,2.61576515,2.777,120.4,0.010133,7.07,1.06,851.6,1379.0,6088.0,4.446,0.958,292.98834,49.48497,
0,Kepler,K03153.01,75.378956896,7.70352,539180.0,0.697893,125.269,58.76,4.17,365.0,5420.0,4.596,0.771,297.62912,41.64151,
1,TESS,TOI-60541,7.4903271,5.800713,225.5988767,0.015019949290859806,,2.5277726,526.6956422,1221.8268955,6111.67,4.08398,1.61211,56.337007,60.350917,7.4961
1,TESS,TOI-50901,1.9828041,1.1139386,132105.0435175,0.3634625751263808,,10.8910702,20.6170397,543.4709395,3213.0,4.93347,0.293047,130.664165,19.41436,16.0573
1,Kepler,Kepler-1543 b,6.96704926,3.73,213.7,0.015917,6.61,6.14,2341.58,1774.0,6303.0,3.595,3.53,297.1243,47.037022,
0,Kepler,K07967.01,1.33254428,3.122,162.2,0.011644,3.35,0.93,981.02,1427.0,5460.0,4.543,0.734,294.94775,46.671951,
1,TESS,TOI-14071,9.9783319,4.2281711,179.2248456,0.013387488397754076,,2.0515332,300.9646623,1062.3035336,6073.5,4.1,1.47131,336.576123,-18.011665,7.7275
1,Kepler,Kepler-1216 b,4.37033233,2.845,177.8,0.012063,11.84,1.56,475.39,1191.0,5657.0,4.282,1.182,287.40533,45.918011,
0,Kepler,K04703.01,349.03703,4.76,777.0,0.025262,571.0,2.27,0.67,231.0,5583.0,4.559,0.824,290.16418,41.782631,
1,K2,K2-6 b,30.944648,5.27,845.0,0.02632,,3.06,,,5710.0,,0.96,178.1921152,-1.1984418,12.0593
0,Kepler,K07997.01,321.02094,7.51,592.9,0.022141,319.8,1.96,0.69,232.0,5334.0,4.492,0.81,283.17575,47.401718,
0,Kepler,K01184.01,0.635445336,1.8592,2547.4,0.316337,1.654,19.0,451.42,1177.0,3920.0,4.7,0.55,285.08026,39.18211,
0,TESS,TOI-15821,1.8932775,3.118,3415.0,0.05843800133474792,,21.043,35143.2,3814.0,6904.3,4.05,2.04,34.69789,64.356382,10.0188
1,K2,K2-3 b,10.0546535,,,0.0349,29.44,2.078,10.5,501.3,3844.0,4.704,0.546,172.3353708,-1.4551364,10.5459
0,Kepler,K00702.01,1.274840187,14.833,229.2,0.21287,1.213,66.76,9187.9,2498.0,5365.0,3.669,2.872,300.72702,45.305538,
1,TESS,TOI-59601,3.076329,3.9016058,9490.8396842,0.09742094068628161,,14.2287485,1519.96446,1592.4951117,6401.79,4.23563,1.4311,343.041493,35.447178,9.7758
1,Kepler,Kepler-1321 b,11.12827427,2.6118,6057.0,0.073529,29.1,4.04,6.52,408.0,3640.0,4.744,0.503,294.52859,46.640968,
0,Kepler,K07854.01,1.72929014,3.609,84.5,0.008391,3.72,0.86,1187.75,1497.0,5910.0,4.505,0.94,289.94556,43.665932,
1,TESS,TOI-33311,2.0180196,1.967,15190.0,0.12324771803161307,,12.168,520.136,1330.0,5544.0,4.47,0.96,271.324167,-34.107171,11.3208
1,TESS,TOI-1321,2.1096805,2.1344043,1309.7297126,0.03619018807080173,,3.6396725,644.2138136,1284.923458,5673.0,4.55383,0.940806,338.399662,-43.436872,10.8061
